lower_district,parent_upper_district,party,votes
Alentejo - SM 1,Alentejo,PS,22053
Alentejo - SM 1,Alentejo,CH,20244
Alentejo - SM 1,Alentejo,PPD/PSD.CDS-PP,19701
Alentejo - SM 1,Alentejo,PCP-PEV,9196
Alentejo - SM 1,Alentejo,IL,2344
Alentejo - SM 1,Alentejo,L,2281
Alentejo - SM 1,Alentejo,B.E.,1517
Alentejo - SM 1,Alentejo,ADN,848
Alentejo - SM 1,Alentejo,PAN,816
Alentejo - SM 1,Alentejo,VP,138
Alentejo - SM 1,Alentejo,R.I.R.,136
Alentejo - SM 1,Alentejo,PCTP/MRPP,100
Alentejo - SM 1,Alentejo,E,87
Alentejo - SM 1,Alentejo,NC,74
Alentejo - SM 1,Alentejo,PPM,60
Alentejo - SM 1,Alentejo,ND,9
Alentejo - SM 2,Alentejo,CH,21699
Alentejo - SM 2,Alentejo,PS,20840
Alentejo - SM 2,Alentejo,PPD/PSD.CDS-PP,19653
Alentejo - SM 2,Alentejo,PCP-PEV,3963
Alentejo - SM 2,Alentejo,IL,1456
Alentejo - SM 2,Alentejo,L,1311
Alentejo - SM 2,Alentejo,B.E.,954
Alentejo - SM 2,Alentejo,ADN,822
Alentejo - SM 2,Alentejo,PAN,487
Alentejo - SM 2,Alentejo,PCTP/MRPP,246
Alentejo - SM 2,Alentejo,R.I.R.,106
Alentejo - SM 2,Alentejo,VP,87
Alentejo - SM 2,Alentejo,PPM,70
Alentejo - SM 2,Alentejo,E,64
Alentejo - SM 2,Alentejo,NC,31
Alentejo - SM 2,Alentejo,ND,3
Alentejo - SM 3,Alentejo,CH,16804
Alentejo - SM 3,Alentejo,PS,16384
Alentejo - SM 3,Alentejo,PPD/PSD.CDS-PP,12581
Alentejo - SM 3,Alentejo,PCP-PEV,8455
Alentejo - SM 3,Alentejo,L,1237
Alentejo - SM 3,Alentejo,IL,1161
Alentejo - SM 3,Alentejo,B.E.,1114
Alentejo - SM 3,Alentejo,ADN,645
Alentejo - SM 3,Alentejo,PAN,516
Alentejo - SM 3,Alentejo,PCTP/MRPP,372
Alentejo - SM 3,Alentejo,R.I.R.,110
Alentejo - SM 3,Alentejo,ND,85
Alentejo - SM 3,Alentejo,VP,82
Alentejo - SM 3,Alentejo,PPM,73
Alentejo - SM 3,Alentejo,E,71
Alentejo - SM 3,Alentejo,NC,1
Aveiro - SM 1,Aveiro,PPD/PSD.CDS-PP,28770
Aveiro - SM 1,Aveiro,PS,16975
Aveiro - SM 1,Aveiro,CH,15101
Aveiro - SM 1,Aveiro,IL,3993
Aveiro - SM 1,Aveiro,L,2122
Aveiro - SM 1,Aveiro,ADN,1161
Aveiro - SM 1,Aveiro,B.E.,1135
Aveiro - SM 1,Aveiro,PAN,827
Aveiro - SM 1,Aveiro,PCP-PEV,798
Aveiro - SM 1,Aveiro,PCTP/MRPP,177
Aveiro - SM 1,Aveiro,R.I.R.,169
Aveiro - SM 1,Aveiro,VP,115
Aveiro - SM 1,Aveiro,E,108
Aveiro - SM 1,Aveiro,ND,76
Aveiro - SM 1,Aveiro,NC,43
Aveiro - SM 1,Aveiro,PPM,41
Aveiro - SM 2,Aveiro,PPD/PSD.CDS-PP,40911
Aveiro - SM 2,Aveiro,PS,20990
Aveiro - SM 2,Aveiro,CH,20946
Aveiro - SM 2,Aveiro,IL,6504
Aveiro - SM 2,Aveiro,L,3887
Aveiro - SM 2,Aveiro,B.E.,1813
Aveiro - SM 2,Aveiro,ADN,1694
Aveiro - SM 2,Aveiro,PAN,1291
Aveiro - SM 2,Aveiro,PCP-PEV,1230
Aveiro - SM 2,Aveiro,PCTP/MRPP,224
Aveiro - SM 2,Aveiro,R.I.R.,159
Aveiro - SM 2,Aveiro,VP,157
Aveiro - SM 2,Aveiro,E,119
Aveiro - SM 2,Aveiro,ND,104
Aveiro - SM 2,Aveiro,NC,77
Aveiro - SM 2,Aveiro,PPM,62
Aveiro - SM 3,Aveiro,PPD/PSD.CDS-PP,46827
Aveiro - SM 3,Aveiro,PS,30885
Aveiro - SM 3,Aveiro,CH,25195
Aveiro - SM 3,Aveiro,IL,7517
Aveiro - SM 3,Aveiro,L,4021
Aveiro - SM 3,Aveiro,B.E.,2484
Aveiro - SM 3,Aveiro,ADN,2006
Aveiro - SM 3,Aveiro,PCP-PEV,1892
Aveiro - SM 3,Aveiro,PAN,1839
Aveiro - SM 3,Aveiro,PCTP/MRPP,379
Aveiro - SM 3,Aveiro,R.I.R.,314
Aveiro - SM 3,Aveiro,E,188
Aveiro - SM 3,Aveiro,VP,177
Aveiro - SM 3,Aveiro,ND,139
Aveiro - SM 3,Aveiro,NC,95
Aveiro - SM 3,Aveiro,PPM,95
Aveiro - SM 4,Aveiro,PPD/PSD.CDS-PP,23323
Aveiro - SM 4,Aveiro,PS,10995
Aveiro - SM 4,Aveiro,CH,9668
Aveiro - SM 4,Aveiro,IL,2333
Aveiro - SM 4,Aveiro,L,1083
Aveiro - SM 4,Aveiro,ADN,993
Aveiro - SM 4,Aveiro,B.E.,664
Aveiro - SM 4,Aveiro,PAN,518
Aveiro - SM 4,Aveiro,PCP-PEV,335
Aveiro - SM 4,Aveiro,R.I.R.,191
Aveiro - SM 4,Aveiro,PCTP/MRPP,102
Aveiro - SM 4,Aveiro,ND,74
Aveiro - SM 4,Aveiro,PPM,67
Aveiro - SM 4,Aveiro,E,56
Aveiro - SM 4,Aveiro,VP,55
Aveiro - SM 4,Aveiro,NC,39
Aveiro - SM 5,Aveiro,PPD/PSD.CDS-PP,23786
Aveiro - SM 5,Aveiro,CH,14850
Aveiro - SM 5,Aveiro,PS,10165
Aveiro - SM 5,Aveiro,IL,3097
Aveiro - SM 5,Aveiro,L,1692
Aveiro - SM 5,Aveiro,ADN,1120
Aveiro - SM 5,Aveiro,B.E.,919
Aveiro - SM 5,Aveiro,PCP-PEV,668
Aveiro - SM 5,Aveiro,PAN,656
Aveiro - SM 5,Aveiro,PCTP/MRPP,123
Aveiro - SM 5,Aveiro,R.I.R.,100
Aveiro - SM 5,Aveiro,VP,88
Aveiro - SM 5,Aveiro,ND,79
Aveiro - SM 5,Aveiro,E,57
Aveiro - SM 5,Aveiro,NC,45
Aveiro - SM 5,Aveiro,PPM,39
Açores - SM 1,Açores,PPD/PSD.CDS-PP.PPM,18257
Açores - SM 1,Açores,CH,15115
Açores - SM 1,Açores,PS,11630
Açores - SM 1,Açores,IL,2123
Açores - SM 1,Açores,L,1476
Açores - SM 1,Açores,B.E.,1191
Açores - SM 1,Açores,PAN,890
Açores - SM 1,Açores,ADN,843
Açores - SM 1,Açores,PCP-PEV,455
Açores - SM 1,Açores,JPP,181
Açores - SM 1,Açores,MPT,81
Açores - SM 1,Açores,E,73
Açores - SM 1,Açores,R.I.R.,72
Açores - SM 2,Açores,PPD/PSD.CDS-PP.PPM,18622
Açores - SM 2,Açores,PS,12180
Açores - SM 2,Açores,CH,7938
Açores - SM 2,Açores,IL,1358
Açores - SM 2,Açores,L,1058
Açores - SM 2,Açores,B.E.,915
Açores - SM 2,Açores,ADN,823
Açores - SM 2,Açores,PCP-PEV,764
Açores - SM 2,Açores,PAN,424
Açores - SM 2,Açores,JPP,90
Açores - SM 2,Açores,R.I.R.,68
Açores - SM 2,Açores,E,46
Açores - SM 2,Açores,MPT,32
Beira Baixa - SM 1,Beira Baixa,PPD/PSD.CDS-PP,17949
Beira Baixa - SM 1,Beira Baixa,PS,13332
Beira Baixa - SM 1,Beira Baixa,CH,10973
Beira Baixa - SM 1,Beira Baixa,ADN,1085
Beira Baixa - SM 1,Beira Baixa,IL,1010
Beira Baixa - SM 1,Beira Baixa,PCP-PEV,907
Beira Baixa - SM 1,Beira Baixa,L,717
Beira Baixa - SM 1,Beira Baixa,B.E.,595
Beira Baixa - SM 1,Beira Baixa,PAN,375
Beira Baixa - SM 1,Beira Baixa,PPM,115
Beira Baixa - SM 1,Beira Baixa,R.I.R.,98
Beira Baixa - SM 1,Beira Baixa,VP,90
Beira Baixa - SM 1,Beira Baixa,PCTP/MRPP,66
Beira Baixa - SM 1,Beira Baixa,E,61
Beira Baixa - SM 1,Beira Baixa,NC,58
Beira Baixa - SM 2,Beira Baixa,PPD/PSD.CDS-PP,27253
Beira Baixa - SM 2,Beira Baixa,PS,23819
Beira Baixa - SM 2,Beira Baixa,CH,16352
Beira Baixa - SM 2,Beira Baixa,IL,2293
Beira Baixa - SM 2,Beira Baixa,L,1841
Beira Baixa - SM 2,Beira Baixa,PCP-PEV,1451
Beira Baixa - SM 2,Beira Baixa,ADN,1340
Beira Baixa - SM 2,Beira Baixa,B.E.,1315
Beira Baixa - SM 2,Beira Baixa,PAN,692
Beira Baixa - SM 2,Beira Baixa,R.I.R.,130
Beira Baixa - SM 2,Beira Baixa,VP,118
Beira Baixa - SM 2,Beira Baixa,PCTP/MRPP,105
Beira Baixa - SM 2,Beira Baixa,PPM,101
Beira Baixa - SM 2,Beira Baixa,E,78
Beira Baixa - SM 2,Beira Baixa,NC,59
Beira Baixa - SM 3,Beira Baixa,PPD/PSD.CDS-PP,20705
Beira Baixa - SM 3,Beira Baixa,CH,14235
Beira Baixa - SM 3,Beira Baixa,PS,14150
Beira Baixa - SM 3,Beira Baixa,IL,1834
Beira Baixa - SM 3,Beira Baixa,L,1323
Beira Baixa - SM 3,Beira Baixa,ADN,1107
Beira Baixa - SM 3,Beira Baixa,PCP-PEV,906
Beira Baixa - SM 3,Beira Baixa,B.E.,815
Beira Baixa - SM 3,Beira Baixa,PAN,484
Beira Baixa - SM 3,Beira Baixa,PCTP/MRPP,129
Beira Baixa - SM 3,Beira Baixa,PPM,108
Beira Baixa - SM 3,Beira Baixa,VP,108
Beira Baixa - SM 3,Beira Baixa,R.I.R.,105
Beira Baixa - SM 3,Beira Baixa,E,86
Beira Baixa - SM 3,Beira Baixa,NC,0
Braga - SM 1,Braga,PPD/PSD.CDS-PP,18730
Braga - SM 1,Braga,CH,11074
Braga - SM 1,Braga,PS,10037
Braga - SM 1,Braga,IL,2913
Braga - SM 1,Braga,L,1070
Braga - SM 1,Braga,B.E.,610
Braga - SM 1,Braga,PCP-PEV,541
Braga - SM 1,Braga,ADN,535
Braga - SM 1,Braga,PAN,390
Braga - SM 1,Braga,R.I.R.,101
Braga - SM 1,Braga,ND,76
Braga - SM 1,Braga,VP,53
Braga - SM 1,Braga,E,46
Braga - SM 1,Braga,JPP,36
Braga - SM 1,Braga,PPM,36
Braga - SM 2,Braga,PPD/PSD.CDS-PP,34960
Braga - SM 2,Braga,PS,20864
Braga - SM 2,Braga,CH,20379
Braga - SM 2,Braga,IL,4236
Braga - SM 2,Braga,L,1820
Braga - SM 2,Braga,B.E.,1214
Braga - SM 2,Braga,PCP-PEV,1044
Braga - SM 2,Braga,ADN,944
Braga - SM 2,Braga,PAN,688
Braga - SM 2,Braga,R.I.R.,201
Braga - SM 2,Braga,ND,180
Braga - SM 2,Braga,VP,87
Braga - SM 2,Braga,E,58
Braga - SM 2,Braga,JPP,49
Braga - SM 2,Braga,PPM,44
Braga - SM 3,Braga,PPD/PSD.CDS-PP,26582
Braga - SM 3,Braga,CH,13805
Braga - SM 3,Braga,PS,8876
Braga - SM 3,Braga,IL,3265
Braga - SM 3,Braga,L,1333
Braga - SM 3,Braga,ADN,715
Braga - SM 3,Braga,B.E.,705
Braga - SM 3,Braga,PCP-PEV,564
Braga - SM 3,Braga,PAN,424
Braga - SM 3,Braga,R.I.R.,130
Braga - SM 3,Braga,ND,89
Braga - SM 3,Braga,VP,72
Braga - SM 3,Braga,E,60
Braga - SM 3,Braga,PPM,34
Braga - SM 3,Braga,JPP,25
Braga - SM 4,Braga,PPD/PSD.CDS-PP,31070
Braga - SM 4,Braga,CH,20519
Braga - SM 4,Braga,PS,20360
Braga - SM 4,Braga,IL,7472
Braga - SM 4,Braga,L,3556
Braga - SM 4,Braga,B.E.,2114
Braga - SM 4,Braga,PCP-PEV,1754
Braga - SM 4,Braga,PAN,986
Braga - SM 4,Braga,ADN,782
Braga - SM 4,Braga,R.I.R.,175
Braga - SM 4,Braga,ND,165
Braga - SM 4,Braga,VP,138
Braga - SM 4,Braga,E,96
Braga - SM 4,Braga,JPP,61
Braga - SM 4,Braga,PPM,51
Braga - SM 5,Braga,PPD/PSD.CDS-PP,37378
Braga - SM 5,Braga,PS,31394
Braga - SM 5,Braga,CH,24202
Braga - SM 5,Braga,IL,7706
Braga - SM 5,Braga,L,3440
Braga - SM 5,Braga,PCP-PEV,2234
Braga - SM 5,Braga,B.E.,2148
Braga - SM 5,Braga,PAN,1212
Braga - SM 5,Braga,ADN,1076
Braga - SM 5,Braga,R.I.R.,223
Braga - SM 5,Braga,ND,161
Braga - SM 5,Braga,VP,138
Braga - SM 5,Braga,E,116
Braga - SM 5,Braga,JPP,57
Braga - SM 5,Braga,PPM,50
Braga - SM 6,Braga,PPD/PSD.CDS-PP,44109
Braga - SM 6,Braga,PS,32251
Braga - SM 6,Braga,CH,27269
Braga - SM 6,Braga,IL,10564
Braga - SM 6,Braga,L,5183
Braga - SM 6,Braga,B.E.,3096
Braga - SM 6,Braga,PCP-PEV,2971
Braga - SM 6,Braga,PAN,1413
Braga - SM 6,Braga,ADN,1136
Braga - SM 6,Braga,R.I.R.,233
Braga - SM 6,Braga,ND,196
Braga - SM 6,Braga,VP,195
Braga - SM 6,Braga,E,139
Braga - SM 6,Braga,JPP,70
Braga - SM 6,Braga,PPM,56
Coimbra - SM 1,Coimbra,PPD/PSD.CDS-PP,34909
Coimbra - SM 1,Coimbra,PS,27807
Coimbra - SM 1,Coimbra,CH,14813
Coimbra - SM 1,Coimbra,IL,4626
Coimbra - SM 1,Coimbra,L,4575
Coimbra - SM 1,Coimbra,PCP-PEV,2882
Coimbra - SM 1,Coimbra,B.E.,2300
Coimbra - SM 1,Coimbra,ADN,1371
Coimbra - SM 1,Coimbra,PAN,1258
Coimbra - SM 1,Coimbra,VP,199
Coimbra - SM 1,Coimbra,R.I.R.,151
Coimbra - SM 1,Coimbra,E,124
Coimbra - SM 1,Coimbra,PPM,95
Coimbra - SM 1,Coimbra,ND,88
Coimbra - SM 1,Coimbra,JPP,54
Coimbra - SM 2,Coimbra,PPD/PSD.CDS-PP,24765
Coimbra - SM 2,Coimbra,PS,17331
Coimbra - SM 2,Coimbra,CH,16259
Coimbra - SM 2,Coimbra,IL,3062
Coimbra - SM 2,Coimbra,L,2429
Coimbra - SM 2,Coimbra,PCP-PEV,1410
Coimbra - SM 2,Coimbra,ADN,1379
Coimbra - SM 2,Coimbra,B.E.,1358
Coimbra - SM 2,Coimbra,PAN,865
Coimbra - SM 2,Coimbra,R.I.R.,176
Coimbra - SM 2,Coimbra,E,143
Coimbra - SM 2,Coimbra,VP,107
Coimbra - SM 2,Coimbra,ND,90
Coimbra - SM 2,Coimbra,PPM,89
Coimbra - SM 2,Coimbra,JPP,60
Coimbra - SM 3,Coimbra,PPD/PSD.CDS-PP,19850
Coimbra - SM 3,Coimbra,PS,18210
Coimbra - SM 3,Coimbra,CH,11455
Coimbra - SM 3,Coimbra,IL,2585
Coimbra - SM 3,Coimbra,L,2388
Coimbra - SM 3,Coimbra,PCP-PEV,1504
Coimbra - SM 3,Coimbra,B.E.,1369
Coimbra - SM 3,Coimbra,ADN,1002
Coimbra - SM 3,Coimbra,PAN,705
Coimbra - SM 3,Coimbra,R.I.R.,147
Coimbra - SM 3,Coimbra,VP,94
Coimbra - SM 3,Coimbra,E,73
Coimbra - SM 3,Coimbra,ND,67
Coimbra - SM 3,Coimbra,PPM,51
Coimbra - SM 3,Coimbra,JPP,40
Faro - SM 1,Faro,CH,25874
Faro - SM 1,Faro,PPD/PSD.CDS-PP,17821
Faro - SM 1,Faro,PS,15369
Faro - SM 1,Faro,IL,3296
Faro - SM 1,Faro,L,2563
Faro - SM 1,Faro,PCP-PEV,2381
Faro - SM 1,Faro,B.E.,1892
Faro - SM 1,Faro,ADN,1365
Faro - SM 1,Faro,PAN,1331
Faro - SM 1,Faro,R.I.R.,177
Faro - SM 1,Faro,E,160
Faro - SM 1,Faro,ND,148
Faro - SM 1,Faro,VP,136
Faro - SM 1,Faro,PPM,115
Faro - SM 1,Faro,JPP,95
Faro - SM 2,Faro,CH,24070
Faro - SM 2,Faro,PPD/PSD.CDS-PP,17234
Faro - SM 2,Faro,PS,12375
Faro - SM 2,Faro,IL,2567
Faro - SM 2,Faro,L,1726
Faro - SM 2,Faro,PCP-PEV,1578
Faro - SM 2,Faro,B.E.,1425
Faro - SM 2,Faro,ADN,1235
Faro - SM 2,Faro,PAN,1075
Faro - SM 2,Faro,E,140
Faro - SM 2,Faro,VP,130
Faro - SM 2,Faro,ND,129
Faro - SM 2,Faro,R.I.R.,128
Faro - SM 2,Faro,PPM,96
Faro - SM 2,Faro,JPP,61
Faro - SM 3,Faro,CH,28224
Faro - SM 3,Faro,PPD/PSD.CDS-PP,24298
Faro - SM 3,Faro,PS,19549
Faro - SM 3,Faro,IL,4184
Faro - SM 3,Faro,L,3446
Faro - SM 3,Faro,B.E.,2407
Faro - SM 3,Faro,PCP-PEV,2211
Faro - SM 3,Faro,PAN,1755
Faro - SM 3,Faro,ADN,1582
Faro - SM 3,Faro,R.I.R.,207
Faro - SM 3,Faro,E,186
Faro - SM 3,Faro,VP,171
Faro - SM 3,Faro,ND,146
Faro - SM 3,Faro,PPM,121
Faro - SM 3,Faro,JPP,106
Leiria - SM 1,Leiria,PPD/PSD.CDS-PP,31234
Leiria - SM 1,Leiria,CH,21750
Leiria - SM 1,Leiria,PS,19676
Leiria - SM 1,Leiria,IL,6467
Leiria - SM 1,Leiria,L,3887
Leiria - SM 1,Leiria,PCP-PEV,2729
Leiria - SM 1,Leiria,B.E.,2218
Leiria - SM 1,Leiria,ADN,1755
Leiria - SM 1,Leiria,PAN,1220
Leiria - SM 1,Leiria,ND,221
Leiria - SM 1,Leiria,R.I.R.,190
Leiria - SM 1,Leiria,VP,182
Leiria - SM 1,Leiria,E,127
Leiria - SM 1,Leiria,PPM,100
Leiria - SM 2,Leiria,PPD/PSD.CDS-PP,30215
Leiria - SM 2,Leiria,CH,21289
Leiria - SM 2,Leiria,PS,17425
Leiria - SM 2,Leiria,IL,4979
Leiria - SM 2,Leiria,L,3198
Leiria - SM 2,Leiria,PCP-PEV,1975
Leiria - SM 2,Leiria,ADN,1710
Leiria - SM 2,Leiria,B.E.,1674
Leiria - SM 2,Leiria,PAN,1129
Leiria - SM 2,Leiria,R.I.R.,209
Leiria - SM 2,Leiria,ND,205
Leiria - SM 2,Leiria,VP,177
Leiria - SM 2,Leiria,E,150
Leiria - SM 2,Leiria,PPM,105
Leiria - SM 3,Leiria,PPD/PSD.CDS-PP,36794
Leiria - SM 3,Leiria,CH,18123
Leiria - SM 3,Leiria,PS,13220
Leiria - SM 3,Leiria,IL,4525
Leiria - SM 3,Leiria,ADN,2280
Leiria - SM 3,Leiria,L,2214
